"id","name","description","compliance_control_ids/name","compliance_control_ids/description","compliance_control_ids/id","compliance_version_id/id"
"__export__.compliance_control_objective_365_e93d22e9","SI-22 INFORMATION DIVERSITY","","a. Identify the following alternative sources of information for [Assignment: organizationdefined essential functions and services]: [Assignment: organization-defined alternative information sources]; and","","__export__.compliance_control_1525_72b23a4c","__export__.compliance_version_1_9fc7045a"
"","","","b. Use an alternative information source for the execution of essential functions or services on  [Assignment: organization-defined systems or system components] when the primary source  of information is corrupted or unavailable.","","__export__.compliance_control_1526_87bac82d",""
"__export__.compliance_control_objective_366_98e896f6","SI-23 INFORMATION FRAGMENTATION","","Based on [Assignment: organization-defined circumstances]:","a. Fragment the following information: [Assignment: organization-defined information]; and
b. Distribute the fragmented information across the following systems or system components:[Assignment organization-defined systems or system components].","__export__.compliance_control_1527_ecbf5eed","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_367_3ce0f70f","SR-1 POLICY AND PROCEDURES","","(SR-1) a. Develop, document, and disseminate to [Assignment: organization-defined personnel or  roles]:","1. [Selection (one or more): Organization-level; Mission/business process-level; Systemlevel] supply chain risk management policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the supply chain risk management policy and the associated supply chain risk management controls;","__export__.compliance_control_1528_d5823381","__export__.compliance_version_1_9fc7045a"
"","","","(SR-1) b. Designate an [Assignment: organization-defined official] to manage the development,  documentation, and dissemination of the supply chain risk management policy and  procedures; and","","__export__.compliance_control_1529_e4e0e42c",""
"","","","(SR-1) c. Review and update the current supply chain risk management:","1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].","__export__.compliance_control_1530_9ffa0fd3",""
"__export__.compliance_control_objective_368_44f3a7fb","SR-2 SUPPLY CHAIN RISK MANAGEMENT PLAN","","a. Develop a plan for managing supply chain risks associated with the research and  development, design, manufacturing, acquisition, delivery, integration, operations and  maintenance, and disposal of the following systems, system components or system services: [Assignment: organization-defined systems, system components, or system services];","","__export__.compliance_control_1531_27798d41","__export__.compliance_version_1_9fc7045a"
"","","","b. Review and update the supply chain risk management plan [Assignment: organizationdefined frequency] or as required, to address threat, organizational or environmental  changes; and","","__export__.compliance_control_1532_3a694855",""
"","","","c. Protect the supply chain risk management plan from unauthorized disclosure and  modification.","","__export__.compliance_control_1533_24a02dd1",""
"__export__.compliance_control_objective_369_a12d56cd","SR-3 SUPPLY CHAIN CONTROLS AND PROCESSES","","a. Establish a process or processes to identify and address weaknesses or deficiencies in the  supply chain elements and processes of [Assignment: organization-defined system or system  component] in coordination with [Assignment: organization-defined supply chain personnel];","","__export__.compliance_control_1534_4f6b6d10","__export__.compliance_version_1_9fc7045a"
"","","","b. Employ the following controls to protect against supply chain risks to the system, system  component, or system service and to limit the harm or consequences from supply chainrelated events: [Assignment: organization-defined supply chain controls]; an","","__export__.compliance_control_1535_23a2ed44",""
"","","","c. Document the selected and implemented supply chain processes and controls in [Selection:  security and privacy plans; supply chain risk management plan; [Assignment: organizationdefined document","","__export__.compliance_control_1536_6e487057",""
"__export__.compliance_control_objective_370_53665077","SR-4 PROVENANCE","","Document, monitor, and maintain valid provenance of the following systems, system  components, and associated data: [Assignment: organization-defined systems, system  components, and associated data].","","__export__.compliance_control_1537_c5525c49","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_371_365a5daa","SR-5 ACQUISITION STRATEGIES, TOOLS, AND METHODS","","Employ the following acquisition strategies, contract tools, and procurement methods  to protect against, identify, and mitigate supply chain risks: [Assignment: organization-defined  acquisition strategies, contract tools, and procurement methods].","","__export__.compliance_control_1538_10314785","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_372_0a5a4517","SR-6 SUPPLIER ASSESSMENTS AND REVIEWS","","Assess and review the supply chain-related risks associated with suppliers or  contractors and the system, system component, or system service they provide [Assignment:  organization-defined frequency].","","__export__.compliance_control_1539_3643316a","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_373_d8844808","SR-7 SUPPLY CHAIN OPERATIONS SECURITY","","Employ the following Operations Security (OPSEC) controls to protect supply chainrelated information for the system, system component, or system service: [Assignment:  organization-defined Operations Security (OPSEC) controls].","","__export__.compliance_control_1540_8ec6ce2f","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_374_60bdef35","SR-8 NOTIFICATION AGREEMENTS","","Establish agreements and procedures with entities involved in the supply chain for the  system, system component, or system service for the [Selection (one or more): notification of  supply chain compromises; results of assessments or audits; [Assignment: organization-defined  information]].","","__export__.compliance_control_1541_cdb4e7b3","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_375_7d3dd99a","SR-9 TAMPER RESISTANCE AND DETECTION","","Implement a tamper protection program for the system, system component, or system  service.","","__export__.compliance_control_1542_bfe7c904","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_376_86abfd87","SR-10 INSPECTION OF SYSTEMS OR COMPONENTS","","Inspect the following systems or system components [Selection (one or more): at  random; at [Assignment: organization-defined frequency], upon [Assignment: organizationdefined indications of need for inspection]] to detect tampering: [Assignment: organizationdefined systems or system components].","","__export__.compliance_control_1543_8426f723","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_377_d492a64e","SR-11 COMPONENT AUTHENTICITY","","a. Develop and implement anti-counterfeit policy and procedures that include the means to  detect and prevent counterfeit components from entering the system; and","","__export__.compliance_control_1544_1d9aba65","__export__.compliance_version_1_9fc7045a"
